window,rppg_score,fft_score
30,0.6997,0.0
45,0.7526,0.0
60,0.8057,0.0
75,0.526,0.8407
90,0.5475,0.8847
105,0.6745,0.9101
120,0.4835,0.9061
135,0.9556,0.9238
150,0.6221,0.9303
165,0.6987,0.9338
180,0.7787,0.9308
195,0.6497,0.9357
210,0.6672,0.9406
225,0.775,0.9366
240,0.5936,0.9396
255,0.4438,0.9424
270,0.5891,0.938
285,0.5073,0.9408
300,0.5917,0.9422
315,0.4487,0.9431
330,0.5064,0.943
345,0.8257,0.9416
360,0.5147,0.9438
375,0.9159,0.945
390,0.6067,0.9441
405,0.9042,0.9433
