window,rppg_score,fft_score
30,0.8679,0.0
45,0.8221,0.0
60,0.7897,0.0
75,0.4694,0.8317
90,0.7178,0.9072
105,0.8504,0.919
120,0.9232,0.9258
135,0.7969,0.9313
150,0.6978,0.935
165,0.6904,0.9434
180,0.899,0.9357
195,0.6813,0.9387
210,0.774,0.9463
225,0.815,0.9337
240,0.6805,0.9366
255,0.9476,0.9446
270,0.8131,0.928
285,0.6748,0.9361
300,0.7718,0.9417
315,0.8553,0.9466
330,0.7462,0.9456
345,0.8562,0.9439
360,0.8402,0.9434
375,0.9441,0.9443
390,0.8524,0.9461
405,0.7613,0.9469
